ID,Region,District,Longitude,Latitude
1,Magway Region,Gangaw District,94.2140481,22.6071148
1,Magway Region,Gangaw District,94.2180418,22.6008547
1,Magway Region,Gangaw District,94.2243267,22.5923109
1,Magway Region,Gangaw District,94.229236,22.5853933
1,Magway Region,Gangaw District,94.2324304,22.5830057
1,Magway Region,Gangaw District,94.235038,22.5773598
1,Magway Region,Gangaw District,94.2446335,22.5655328
1,Magway Region,Gangaw District,94.2473114,22.5577225
1,Magway Region,Gangaw District,94.2481171,22.5448663
1,Magway Region,Gangaw District,94.2542295,22.5296051
1,Magway Region,Gangaw District,94.2586926,22.5197864
1,Magway Region,Gangaw District,94.2582463,22.5157696
1,Magway Region,Gangaw District,94.256891,22.512945
1,Magway Region,Gangaw District,94.2545447,22.5079477
1,Magway Region,Gangaw District,94.2607012,22.5021572
1,Magway Region,Gangaw District,94.263379,22.4985867
1,Magway Region,Gangaw District,94.2691808,22.4990332
1,Magway Region,Gangaw District,94.2758754,22.4889914
1,Magway Region,Gangaw District,94.2767682,22.4798421
1,Magway Region,Gangaw District,94.2765445,22.4764851
1,Magway Region,Gangaw District,94.276322,22.4731475
1,Magway Region,Gangaw District,94.2802053,22.4689965
1,Magway Region,Gangaw District,94.2814157,22.4677026
1,Magway Region,Gangaw District,94.2794463,22.4570804
1,Magway Region,Gangaw District,94.2798928,22.4490469
1,Magway Region,Gangaw District,94.2810087,22.4403439
1,Magway Region,Gangaw District,94.2756533,22.4367733
1,Magway Region,Gangaw District,94.2754303,22.4327565
1,Magway Region,Gangaw District,94.2774387,22.4278472
1,Magway Region,Gangaw District,94.2743148,22.4184746
1,Magway Region,Gangaw District,94.272753,22.4088789
1,Magway Region,Gangaw District,94.2705217,22.4050853
1,Magway Region,Gangaw District,94.2638274,22.4006221
1,Magway Region,Gangaw District,94.2609266,22.3970515
1,Magway Region,Gangaw District,94.262935,22.3910264
1,Magway Region,Gangaw District,94.265836,22.3872328
1,Magway Region,Gangaw District,94.2669519,22.3796456
1,Magway Region,Gangaw District,94.2698529,22.3740668
1,Magway Region,Gangaw District,94.2707456,22.3664796
1,Magway Region,Gangaw District,94.2685142,22.3626859
1,Magway Region,Gangaw District,94.2642746,22.3584459
1,Magway Region,Gangaw District,94.2609275,22.3535364
1,Magway Region,Gangaw District,94.2609276,22.3472881
1,Magway Region,Gangaw District,94.2647212,22.3423788
1,Magway Region,Gangaw District,94.2676222,22.3379157
1,Magway Region,Gangaw District,94.2676224,22.3278738
1,Magway Region,Gangaw District,94.2676225,22.3149309
1,Magway Region,Gangaw District,94.2627133,22.3176086
1,Magway Region,Gangaw District,94.2582505,22.3149307
1,Magway Region,Gangaw District,94.2531183,22.3086823
1,Magway Region,Gangaw District,94.2450853,22.3004254
1,Magway Region,Gangaw District,94.2448622,22.2959623
1,Magway Region,Gangaw District,94.2484326,22.2923919
1,Magway Region,Gangaw District,94.2524493,22.2861437
1,Magway Region,Gangaw District,94.2531189,22.2798953
1,Magway Region,Gangaw District,94.2526727,22.2747628
1,Magway Region,Gangaw District,94.2540117,22.2705229
1,Magway Region,Gangaw District,94.2555739,22.2602578
1,Magway Region,Gangaw District,94.2560204,22.2531169
1,Magway Region,Gangaw District,94.2591445,22.248877
1,Magway Region,Gangaw District,94.262938,22.2453066
1,Magway Region,Gangaw District,94.2665084,22.2424056
1,Magway Region,Gangaw District,94.2658391,22.2348184
1,Magway Region,Gangaw District,94.2640541,22.2272311
1,Magway Region,Gangaw District,94.2620459,22.2220985
1,Magway Region,Gangaw District,94.2640544,22.2156271
1,Magway Region,Gangaw District,94.2680712,22.2058083
1,Magway Region,Gangaw District,94.2698565,22.196659
1,Magway Region,Gangaw District,94.2707492,22.1904107
1,Magway Region,Gangaw District,94.2785596,22.1776911
1,Magway Region,Gangaw District,94.2839152,22.171666
1,Magway Region,Gangaw District,94.2879319,22.1683187
1,Magway Region,Gangaw District,94.2928412,22.1593927
1,Magway Region,Gangaw District,94.2964117,22.1515823
1,Magway Region,Gangaw District,94.2975276,22.1431025
1,Magway Region,Gangaw District,94.2975278,22.136631
1,Magway Region,Gangaw District,94.3026601,22.1355153
1,Magway Region,Gangaw District,94.3111397,22.1341765
1,Magway Region,Gangaw District,94.3153587,22.1367082
1,Magway Region,Gangaw District,94.3198421,22.1431029
1,Magway Region,Gangaw District,94.325281,22.1442392
1,Magway Region,Gangaw District,94.3301069,22.1397557
1,Magway Region,Gangaw District,94.3350161,22.1377474
